Dataset,Model,Datafraction,Score,Filename
mb-domars16k,mars_mae,0.20,79.55,mb-domars16k_mars_mae_frac0.20x_lr0.0001_concat_3.log
mb-domars16k,mars_mae,0.20,84.39,mb-domars16k_mars_mae_frac0.20x_lr0.001_concat_3.log
mb-domars16k,mars_mae,0.20,64.13,mb-domars16k_mars_mae_frac0.20x_lr1e-05_concat_3.log
mb-domars16k,mars_mae,0.50,84.51,mb-domars16k_mars_mae_frac0.50x_lr0.0001_concat_3.log
mb-domars16k,mars_mae,0.50,86.37,mb-domars16k_mars_mae_frac0.50x_lr0.001_concat_3.log
mb-domars16k,mars_mae,0.50,72.24,mb-domars16k_mars_mae_frac0.50x_lr1e-05_concat_3.log
mb-domars16k,mars_mae,full,83.21,mb-domars16k_mars_mae_lr0.0001_concat_3.log
mb-domars16k,mars_mae,full,86.12,mb-domars16k_mars_mae_lr0.001_concat_3.log
mb-domars16k,mars_mae,full,85.63,mb-domars16k_mars_mae_lr0.01_concat_3.log
mb-domars16k,openclip,0.01,43.12,mb-domars16k_openclip_frac0.01x_lr0.0001_concat_3.log
mb-domars16k,openclip,0.01,63.2,mb-domars16k_openclip_frac0.01x_lr0.001_concat_3.log
mb-domars16k,openclip,0.01,8.12,mb-domars16k_openclip_frac0.01x_lr1e-05_concat_3.log
mb-domars16k,openclip,0.05,75.22,mb-domars16k_openclip_frac0.05x_lr0.0001_concat_3.log
mb-domars16k,openclip,0.05,78.25,mb-domars16k_openclip_frac0.05x_lr0.001_concat_3.log
mb-domars16k,openclip,0.05,47.46,mb-domars16k_openclip_frac0.05x_lr1e-05_concat_3.log
mb-domars16k,openclip,0.20,82.96,mb-domars16k_openclip_frac0.20x_lr0.0001_concat_3.log
mb-domars16k,openclip,0.20,84.08,mb-domars16k_openclip_frac0.20x_lr0.001_concat_3.log
mb-domars16k,openclip,0.20,71.93,mb-domars16k_openclip_frac0.20x_lr1e-05_concat_3.log
mb-domars16k,openclip,0.50,85.25,mb-domars16k_openclip_frac0.50x_lr0.0001_concat_3.log
mb-domars16k,openclip,0.50,86.56,mb-domars16k_openclip_frac0.50x_lr0.001_concat_3.log
mb-domars16k,openclip,0.50,77.26,mb-domars16k_openclip_frac0.50x_lr1e-05_concat_3.log
mb-domars16k,openclip,full,84.82,mb-domars16k_openclip_lr0.0001_concat_3.log
mb-domars16k,openclip,full,86.8,mb-domars16k_openclip_lr0.001_concat_3.log
mb-domars16k,openclip,full,85.5,mb-domars16k_openclip_lr0.01_concat_3.log
mb-domars16k,satmae,0.01,31.29,mb-domars16k_satmae_frac0.01x_lr0.0001_concat_3.log
mb-domars16k,satmae,0.01,55.02,mb-domars16k_satmae_frac0.01x_lr0.001_concat_3.log
mb-domars16k,satmae,0.01,11.83,mb-domars16k_satmae_frac0.01x_lr1e-05_concat_3.log
mb-domars16k,satmae,0.05,66.98,mb-domars16k_satmae_frac0.05x_lr0.0001_concat_3.log
mb-domars16k,satmae,0.05,68.03,mb-domars16k_satmae_frac0.05x_lr0.001_concat_3.log
mb-domars16k,satmae,0.05,42.94,mb-domars16k_satmae_frac0.05x_lr1e-05_concat_3.log
mb-domars16k,satmae,0.20,75.46,mb-domars16k_satmae_frac0.20x_lr0.0001_concat_3.log
mb-domars16k,satmae,0.20,78.38,mb-domars16k_satmae_frac0.20x_lr0.001_concat_3.log
mb-domars16k,satmae,0.20,63.51,mb-domars16k_satmae_frac0.20x_lr1e-05_concat_3.log
mb-domars16k,satmae,0.50,81.1,mb-domars16k_satmae_frac0.50x_lr0.0001_concat_3.log
mb-domars16k,satmae,0.50,81.1,mb-domars16k_satmae_frac0.50x_lr0.001_concat_3.log
mb-domars16k,satmae,0.50,68.22,mb-domars16k_satmae_frac0.50x_lr1e-05_concat_3.log
mb-domars16k,satmae,full,78.75,mb-domars16k_satmae_lr0.0001_concat_3.log
mb-domars16k,satmae,full,84.08,mb-domars16k_satmae_lr0.001_concat_3.log
mb-domars16k,satmae,full,82.28,mb-domars16k_satmae_lr0.01_concat_3.log
mb-domars16k,scale_mae,full,59.23,mb-domars16k_scale_mae_lr0.0001_concat_3.log
mb-domars16k,scale_mae,full,64.19,mb-domars16k_scale_mae_lr0.001_concat_3.log
mb-domars16k,scale_mae,full,64.75,mb-domars16k_scale_mae_lr0.01_concat_3.log
mb-domars16k,siglip2,0.01,33.21,mb-domars16k_siglip2_frac0.01x_lr0.0001_concat_3.log
mb-domars16k,siglip2,0.01,51.36,mb-domars16k_siglip2_frac0.01x_lr0.001_concat_3.log
mb-domars16k,siglip2,0.01,6.32,mb-domars16k_siglip2_frac0.01x_lr1e-05_concat_3.log
mb-domars16k,siglip2,0.05,67.41,mb-domars16k_siglip2_frac0.05x_lr0.0001_concat_3.log
mb-domars16k,siglip2,0.05,72.8,mb-domars16k_siglip2_frac0.05x_lr0.001_concat_3.log
mb-domars16k,siglip2,0.05,36.93,mb-domars16k_siglip2_frac0.05x_lr1e-05_concat_3.log
mb-domars16k,siglip2,0.20,79.55,mb-domars16k_siglip2_frac0.20x_lr0.0001_concat_3.log
mb-domars16k,siglip2,0.20,83.33,mb-domars16k_siglip2_frac0.20x_lr0.001_concat_3.log
mb-domars16k,siglip2,0.20,61.03,mb-domars16k_siglip2_frac0.20x_lr1e-05_concat_3.log
mb-domars16k,siglip2,0.50,82.9,mb-domars16k_siglip2_frac0.50x_lr0.0001_concat_3.log
mb-domars16k,siglip2,0.50,81.72,mb-domars16k_siglip2_frac0.50x_lr0.001_concat_3.log
mb-domars16k,siglip2,0.50,69.95,mb-domars16k_siglip2_frac0.50x_lr1e-05_concat_3.log
mb-domars16k,siglip2,full,79.68,mb-domars16k_siglip2_lr0.0001_concat_3.log
mb-domars16k,siglip2,full,84.39,mb-domars16k_siglip2_lr0.001_concat_3.log
mb-domars16k,siglip2,full,84.45,mb-domars16k_siglip2_lr0.01_concat_3.log
mb-domars16k,swin_v2,0.01,51.61,mb-domars16k_swin_v2_frac0.01x_lr0.0001_concat_3.log
mb-domars16k,swin_v2,0.01,61.03,mb-domars16k_swin_v2_frac0.01x_lr0.001_concat_3.log
mb-domars16k,swin_v2,0.01,8.36,mb-domars16k_swin_v2_frac0.01x_lr1e-05_concat_3.log
mb-domars16k,swin_v2,0.05,69.7,mb-domars16k_swin_v2_frac0.05x_lr0.0001_concat_3.log
mb-domars16k,swin_v2,0.05,73.17,mb-domars16k_swin_v2_frac0.05x_lr0.001_concat_3.log
mb-domars16k,swin_v2,0.05,46.72,mb-domars16k_swin_v2_frac0.05x_lr1e-05_concat_3.log
mb-domars16k,swin_v2,0.20,78.13,mb-domars16k_swin_v2_frac0.20x_lr0.0001_concat_3.log
mb-domars16k,swin_v2,0.20,80.67,mb-domars16k_swin_v2_frac0.20x_lr0.001_concat_3.log
mb-domars16k,swin_v2,0.20,68.4,mb-domars16k_swin_v2_frac0.20x_lr1e-05_concat_3.log
mb-domars16k,swin_v2,0.50,80.98,mb-domars16k_swin_v2_frac0.50x_lr0.0001_concat_3.log
mb-domars16k,swin_v2,0.50,82.03,mb-domars16k_swin_v2_frac0.50x_lr0.001_concat_3.log
mb-domars16k,swin_v2,0.50,73.79,mb-domars16k_swin_v2_frac0.50x_lr1e-05_concat_3.log
mb-domars16k,swin_v2,full,80.92,mb-domars16k_swin_v2_lr0.0001_concat_3.log
mb-domars16k,swin_v2,full,82.59,mb-domars16k_swin_v2_lr0.001_concat_3.log
mb-domars16k,swin_v2,full,81.29,mb-domars16k_swin_v2_lr0.01_concat_3.log
mb-domars16k,vit_l,0.01,44.98,mb-domars16k_vit_l_frac0.01x_lr0.0001_concat_3.log
mb-domars16k,vit_l,0.01,60.78,mb-domars16k_vit_l_frac0.01x_lr0.001_concat_3.log
mb-domars16k,vit_l,0.01,13.57,mb-domars16k_vit_l_frac0.01x_lr1e-05_concat_3.log
mb-domars16k,vit_l,0.05,76.15,mb-domars16k_vit_l_frac0.05x_lr0.0001_concat_3.log
mb-domars16k,vit_l,0.05,78.13,mb-domars16k_vit_l_frac0.05x_lr0.001_concat_3.log
mb-domars16k,vit_l,0.05,56.44,mb-domars16k_vit_l_frac0.05x_lr1e-05_concat_3.log
mb-domars16k,vit_l,0.20,83.77,mb-domars16k_vit_l_frac0.20x_lr0.0001_concat_3.log
mb-domars16k,vit_l,0.20,83.46,mb-domars16k_vit_l_frac0.20x_lr0.001_concat_3.log
mb-domars16k,vit_l,0.20,75.96,mb-domars16k_vit_l_frac0.20x_lr1e-05_concat_3.log
mb-domars16k,vit_l,0.50,86.31,mb-domars16k_vit_l_frac0.50x_lr0.0001_concat_3.log
mb-domars16k,vit_l,0.50,85.69,mb-domars16k_vit_l_frac0.50x_lr0.001_concat_3.log
mb-domars16k,vit_l,0.50,80.17,mb-domars16k_vit_l_frac0.50x_lr1e-05_concat_3.log
mb-domars16k,vit_l,full,86.12,mb-domars16k_vit_l_lr0.0001_concat_3.log
mb-domars16k,vit_l,full,87.86,mb-domars16k_vit_l_lr0.001_concat_3.log
mb-domars16k,vit_l,full,87.36,mb-domars16k_vit_l_lr0.01_concat_3.log
mb-frost_cls,dinov1_b8,0.01,98.29,mb-frost_cls_dinov1_b8_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,dinov1_b8,0.01,97.02,mb-frost_cls_dinov1_b8_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,dinov1_b8,0.01,63.35,mb-frost_cls_dinov1_b8_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,dinov1_b8,0.05,97.57,mb-frost_cls_dinov1_b8_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,dinov1_b8,0.05,97.26,mb-frost_cls_dinov1_b8_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,dinov1_b8,0.05,97.63,mb-frost_cls_dinov1_b8_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,dinov1_b8,0.20,98.84,mb-frost_cls_dinov1_b8_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,dinov1_b8,0.20,98.04,mb-frost_cls_dinov1_b8_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,dinov1_b8,0.20,97.27,mb-frost_cls_dinov1_b8_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,dinov1_b8,0.50,97.54,mb-frost_cls_dinov1_b8_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,dinov1_b8,0.50,97.54,mb-frost_cls_dinov1_b8_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,dinov1_b8,0.50,97.01,mb-frost_cls_dinov1_b8_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,dinov1_b8,full,97.29,mb-frost_cls_dinov1_b8_lr0.0001_concat_3.log
mb-frost_cls,dinov1_b8,full,96.87,mb-frost_cls_dinov1_b8_lr0.001_concat_3.log
mb-frost_cls,dinov1_b8,full,96.36,mb-frost_cls_dinov1_b8_lr0.01_concat_3.log
mb-frost_cls,dinov2_l14,0.01,84.47,mb-frost_cls_dinov2_l14_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,dinov2_l14,0.01,92.11,mb-frost_cls_dinov2_l14_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,dinov2_l14,0.01,59.56,mb-frost_cls_dinov2_l14_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,dinov2_l14,0.05,92.75,mb-frost_cls_dinov2_l14_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,dinov2_l14,0.05,94.03,mb-frost_cls_dinov2_l14_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,dinov2_l14,0.05,77.7,mb-frost_cls_dinov2_l14_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,dinov2_l14,0.20,94.42,mb-frost_cls_dinov2_l14_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,dinov2_l14,0.20,94.73,mb-frost_cls_dinov2_l14_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,dinov2_l14,0.20,90.72,mb-frost_cls_dinov2_l14_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,dinov2_l14,0.50,95.18,mb-frost_cls_dinov2_l14_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,dinov2_l14,0.50,95.78,mb-frost_cls_dinov2_l14_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,dinov2_l14,0.50,93.46,mb-frost_cls_dinov2_l14_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,dinov2_l14,full,96.26,mb-frost_cls_dinov2_l14_lr0.0001_concat_3.log
mb-frost_cls,dinov2_l14,full,96.0,mb-frost_cls_dinov2_l14_lr0.001_concat_3.log
mb-frost_cls,dinov2_l14,full,96.15,mb-frost_cls_dinov2_l14_lr0.01_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.01,96.29,mb-frost_cls_dinov3_lvd_1cha_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.01,96.17,mb-frost_cls_dinov3_lvd_1cha_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.01,83.89,mb-frost_cls_dinov3_lvd_1cha_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.05,96.68,mb-frost_cls_dinov3_lvd_1cha_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.05,96.78,mb-frost_cls_dinov3_lvd_1cha_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.05,94.79,mb-frost_cls_dinov3_lvd_1cha_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.20,97.04,mb-frost_cls_dinov3_lvd_1cha_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.20,97.14,mb-frost_cls_dinov3_lvd_1cha_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.20,96.63,mb-frost_cls_dinov3_lvd_1cha_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.50,97.04,mb-frost_cls_dinov3_lvd_1cha_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.50,97.57,mb-frost_cls_dinov3_lvd_1cha_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,0.50,96.86,mb-frost_cls_dinov3_lvd_1cha_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,full,96.55,mb-frost_cls_dinov3_lvd_1cha_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,full,97.1,mb-frost_cls_dinov3_lvd_1cha_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd_1cha,full,97.58,mb-frost_cls_dinov3_lvd_1cha_lr0.01_concat_3.log
mb-frost_cls,dinov3_lvd,0.01,95.93,mb-frost_cls_dinov3_lvd_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd,0.01,96.88,mb-frost_cls_dinov3_lvd_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd,0.01,86.26,mb-frost_cls_dinov3_lvd_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_lvd,0.05,96.82,mb-frost_cls_dinov3_lvd_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd,0.05,97.02,mb-frost_cls_dinov3_lvd_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd,0.05,94.63,mb-frost_cls_dinov3_lvd_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_lvd,0.20,97.09,mb-frost_cls_dinov3_lvd_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd,0.20,97.21,mb-frost_cls_dinov3_lvd_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd,0.20,96.51,mb-frost_cls_dinov3_lvd_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_lvd,0.50,96.97,mb-frost_cls_dinov3_lvd_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd,0.50,97.8,mb-frost_cls_dinov3_lvd_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd,0.50,96.8,mb-frost_cls_dinov3_lvd_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_lvd,full,96.52,mb-frost_cls_dinov3_lvd_lr0.0001_concat_3.log
mb-frost_cls,dinov3_lvd,full,97.4,mb-frost_cls_dinov3_lvd_lr0.001_concat_3.log
mb-frost_cls,dinov3_lvd,full,97.67,mb-frost_cls_dinov3_lvd_lr0.01_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.01,98.26,mb-frost_cls_dinov3_sat_1cha_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.01,98.79,mb-frost_cls_dinov3_sat_1cha_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.01,90.86,mb-frost_cls_dinov3_sat_1cha_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.05,98.47,mb-frost_cls_dinov3_sat_1cha_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.05,98.83,mb-frost_cls_dinov3_sat_1cha_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.05,97.86,mb-frost_cls_dinov3_sat_1cha_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.20,98.66,mb-frost_cls_dinov3_sat_1cha_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.20,99.13,mb-frost_cls_dinov3_sat_1cha_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.20,98.76,mb-frost_cls_dinov3_sat_1cha_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.50,98.49,mb-frost_cls_dinov3_sat_1cha_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.50,98.48,mb-frost_cls_dinov3_sat_1cha_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,0.50,98.67,mb-frost_cls_dinov3_sat_1cha_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_sat_1cha,full,98.76,mb-frost_cls_dinov3_sat_1cha_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,full,98.81,mb-frost_cls_dinov3_sat_1cha_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat_1cha,full,98.56,mb-frost_cls_dinov3_sat_1cha_lr0.01_concat_3.log
mb-frost_cls,dinov3_sat,0.01,98.84,mb-frost_cls_dinov3_sat_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat,0.01,99.1,mb-frost_cls_dinov3_sat_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat,0.01,81.94,mb-frost_cls_dinov3_sat_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_sat,0.05,99.09,mb-frost_cls_dinov3_sat_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat,0.05,99.04,mb-frost_cls_dinov3_sat_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat,0.05,98.64,mb-frost_cls_dinov3_sat_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_sat,0.20,99.11,mb-frost_cls_dinov3_sat_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat,0.20,99.38,mb-frost_cls_dinov3_sat_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat,0.20,99.21,mb-frost_cls_dinov3_sat_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_sat,0.50,99.36,mb-frost_cls_dinov3_sat_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat,0.50,99.6,mb-frost_cls_dinov3_sat_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat,0.50,99.1,mb-frost_cls_dinov3_sat_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,dinov3_sat,full,99.16,mb-frost_cls_dinov3_sat_lr0.0001_concat_3.log
mb-frost_cls,dinov3_sat,full,99.62,mb-frost_cls_dinov3_sat_lr0.001_concat_3.log
mb-frost_cls,dinov3_sat,full,99.53,mb-frost_cls_dinov3_sat_lr0.01_concat_3.log
mb-frost_cls,mars_mae,0.01,91.97,mb-frost_cls_mars_mae_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,mars_mae,0.01,95.26,mb-frost_cls_mars_mae_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,mars_mae,0.01,60.62,mb-frost_cls_mars_mae_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,mars_mae,0.05,95.82,mb-frost_cls_mars_mae_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,mars_mae,0.05,96.41,mb-frost_cls_mars_mae_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,mars_mae,0.05,88.26,mb-frost_cls_mars_mae_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,mars_mae,0.20,96.33,mb-frost_cls_mars_mae_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,mars_mae,0.20,96.94,mb-frost_cls_mars_mae_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,mars_mae,0.20,94.81,mb-frost_cls_mars_mae_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,mars_mae,0.50,96.82,mb-frost_cls_mars_mae_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,mars_mae,0.50,96.18,mb-frost_cls_mars_mae_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,mars_mae,0.50,96.28,mb-frost_cls_mars_mae_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,mars_mae,full,95.6,mb-frost_cls_mars_mae_lr0.0001_concat_3.log
mb-frost_cls,mars_mae,full,95.71,mb-frost_cls_mars_mae_lr0.001_concat_3.log
mb-frost_cls,mars_mae,full,96.13,mb-frost_cls_mars_mae_lr0.01_concat_3.log
mb-frost_cls,openclip,0.01,95.63,mb-frost_cls_openclip_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,openclip,0.01,94.65,mb-frost_cls_openclip_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,openclip,0.01,64.01,mb-frost_cls_openclip_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,openclip,0.05,96.37,mb-frost_cls_openclip_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,openclip,0.05,96.85,mb-frost_cls_openclip_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,openclip,0.05,93.95,mb-frost_cls_openclip_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,openclip,0.20,97.31,mb-frost_cls_openclip_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,openclip,0.20,97.09,mb-frost_cls_openclip_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,openclip,0.20,95.26,mb-frost_cls_openclip_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,openclip,0.50,97.48,mb-frost_cls_openclip_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,openclip,0.50,97.08,mb-frost_cls_openclip_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,openclip,0.50,97.43,mb-frost_cls_openclip_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,openclip,full,97.22,mb-frost_cls_openclip_lr0.0001_concat_3.log
mb-frost_cls,openclip,full,97.08,mb-frost_cls_openclip_lr0.001_concat_3.log
mb-frost_cls,openclip,full,96.72,mb-frost_cls_openclip_lr0.01_concat_3.log
mb-frost_cls,satmae,0.01,94.68,mb-frost_cls_satmae_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,satmae,0.01,95.95,mb-frost_cls_satmae_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,satmae,0.01,86.97,mb-frost_cls_satmae_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,satmae,0.05,95.27,mb-frost_cls_satmae_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,satmae,0.05,95.89,mb-frost_cls_satmae_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,satmae,0.05,88.22,mb-frost_cls_satmae_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,satmae,0.20,95.78,mb-frost_cls_satmae_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,satmae,0.20,95.74,mb-frost_cls_satmae_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,satmae,0.20,94.63,mb-frost_cls_satmae_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,satmae,0.50,96.2,mb-frost_cls_satmae_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,satmae,0.50,96.29,mb-frost_cls_satmae_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,satmae,0.50,95.26,mb-frost_cls_satmae_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,satmae,full,95.62,mb-frost_cls_satmae_lr0.0001_concat_3.log
mb-frost_cls,satmae,full,96.06,mb-frost_cls_satmae_lr0.001_concat_3.log
mb-frost_cls,satmae,full,95.5,mb-frost_cls_satmae_lr0.01_concat_3.log
mb-frost_cls,scale_mae,full,96.1,mb-frost_cls_scale_mae_lr0.0001_concat_3.log
mb-frost_cls,scale_mae,full,96.71,mb-frost_cls_scale_mae_lr0.001_concat_3.log
mb-frost_cls,scale_mae,full,95.88,mb-frost_cls_scale_mae_lr0.01_concat_3.log
mb-frost_cls,siglip2,0.01,92.63,mb-frost_cls_siglip2_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,siglip2,0.01,94.22,mb-frost_cls_siglip2_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,siglip2,0.01,81.04,mb-frost_cls_siglip2_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,siglip2,0.05,95.83,mb-frost_cls_siglip2_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,siglip2,0.05,96.2,mb-frost_cls_siglip2_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,siglip2,0.05,89.49,mb-frost_cls_siglip2_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,siglip2,0.20,95.91,mb-frost_cls_siglip2_frac0.20x_lr0.0001_concat_3.log
