Dataset,Model,Datafraction,Score,Filename
mb-frost_cls,siglip2,0.20,96.15,mb-frost_cls_siglip2_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,siglip2,0.20,93.89,mb-frost_cls_siglip2_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,siglip2,0.50,96.31,mb-frost_cls_siglip2_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,siglip2,0.50,96.38,mb-frost_cls_siglip2_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,siglip2,0.50,95.87,mb-frost_cls_siglip2_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,siglip2,full,96.17,mb-frost_cls_siglip2_lr0.0001_concat_3.log
mb-frost_cls,siglip2,full,96.15,mb-frost_cls_siglip2_lr0.001_concat_3.log
mb-frost_cls,siglip2,full,96.33,mb-frost_cls_siglip2_lr0.01_concat_3.log
mb-frost_cls,swin_v2,0.01,93.94,mb-frost_cls_swin_v2_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,swin_v2,0.01,95.49,mb-frost_cls_swin_v2_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,swin_v2,0.01,86.48,mb-frost_cls_swin_v2_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,swin_v2,0.05,96.63,mb-frost_cls_swin_v2_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,swin_v2,0.05,96.51,mb-frost_cls_swin_v2_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,swin_v2,0.05,92.24,mb-frost_cls_swin_v2_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,swin_v2,0.20,96.92,mb-frost_cls_swin_v2_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,swin_v2,0.20,96.77,mb-frost_cls_swin_v2_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,swin_v2,0.20,95.89,mb-frost_cls_swin_v2_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,swin_v2,0.50,96.91,mb-frost_cls_swin_v2_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,swin_v2,0.50,97.05,mb-frost_cls_swin_v2_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,swin_v2,0.50,96.8,mb-frost_cls_swin_v2_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,swin_v2,full,96.25,mb-frost_cls_swin_v2_lr0.0001_concat_3.log
mb-frost_cls,swin_v2,full,96.06,mb-frost_cls_swin_v2_lr0.001_concat_3.log
mb-frost_cls,swin_v2,full,96.3,mb-frost_cls_swin_v2_lr0.01_concat_3.log
mb-frost_cls,vit_l,0.01,92.26,mb-frost_cls_vit_l_frac0.01x_lr0.0001_concat_3.log
mb-frost_cls,vit_l,0.01,93.58,mb-frost_cls_vit_l_frac0.01x_lr0.001_concat_3.log
mb-frost_cls,vit_l,0.01,74.63,mb-frost_cls_vit_l_frac0.01x_lr1e-05_concat_3.log
mb-frost_cls,vit_l,0.05,94.42,mb-frost_cls_vit_l_frac0.05x_lr0.0001_concat_3.log
mb-frost_cls,vit_l,0.05,94.89,mb-frost_cls_vit_l_frac0.05x_lr0.001_concat_3.log
mb-frost_cls,vit_l,0.05,89.46,mb-frost_cls_vit_l_frac0.05x_lr1e-05_concat_3.log
mb-frost_cls,vit_l,0.20,94.8,mb-frost_cls_vit_l_frac0.20x_lr0.0001_concat_3.log
mb-frost_cls,vit_l,0.20,95.4,mb-frost_cls_vit_l_frac0.20x_lr0.001_concat_3.log
mb-frost_cls,vit_l,0.20,94.87,mb-frost_cls_vit_l_frac0.20x_lr1e-05_concat_3.log
mb-frost_cls,vit_l,0.50,94.68,mb-frost_cls_vit_l_frac0.50x_lr0.0001_concat_3.log
mb-frost_cls,vit_l,0.50,96.11,mb-frost_cls_vit_l_frac0.50x_lr0.001_concat_3.log
mb-frost_cls,vit_l,0.50,94.76,mb-frost_cls_vit_l_frac0.50x_lr1e-05_concat_3.log
mb-frost_cls,vit_l,full,95.11,mb-frost_cls_vit_l_lr0.0001_concat_3.log
mb-frost_cls,vit_l,full,95.18,mb-frost_cls_vit_l_lr0.001_concat_3.log
mb-frost_cls,vit_l,full,95.47,mb-frost_cls_vit_l_lr0.01_concat_3.log
mb-landmark_cls,dinov1_b8,0.01,45.73,mb-landmark_cls_dinov1_b8_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,dinov1_b8,0.01,81.65,mb-landmark_cls_dinov1_b8_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,dinov1_b8,0.01,14.95,mb-landmark_cls_dinov1_b8_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,dinov1_b8,0.05,62.07,mb-landmark_cls_dinov1_b8_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,dinov1_b8,0.05,75.35,mb-landmark_cls_dinov1_b8_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,dinov1_b8,0.05,48.08,mb-landmark_cls_dinov1_b8_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,dinov1_b8,0.20,85.16,mb-landmark_cls_dinov1_b8_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,dinov1_b8,0.20,86.45,mb-landmark_cls_dinov1_b8_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,dinov1_b8,0.20,73.23,mb-landmark_cls_dinov1_b8_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,dinov1_b8,0.50,92.14,mb-landmark_cls_dinov1_b8_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,dinov1_b8,0.50,93.25,mb-landmark_cls_dinov1_b8_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,dinov1_b8,0.50,89.85,mb-landmark_cls_dinov1_b8_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,dinov1_b8,full,91.97,mb-landmark_cls_dinov1_b8_lr0.0001_concat_3.log
mb-landmark_cls,dinov1_b8,full,93.2,mb-landmark_cls_dinov1_b8_lr0.001_concat_3.log
mb-landmark_cls,dinov1_b8,full,92.81,mb-landmark_cls_dinov1_b8_lr0.01_concat_3.log
mb-landmark_cls,dinov2_l14,0.01,8.37,mb-landmark_cls_dinov2_l14_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,dinov2_l14,0.01,58.67,mb-landmark_cls_dinov2_l14_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,dinov2_l14,0.01,0.89,mb-landmark_cls_dinov2_l14_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,dinov2_l14,0.05,48.52,mb-landmark_cls_dinov2_l14_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,dinov2_l14,0.05,73.01,mb-landmark_cls_dinov2_l14_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,dinov2_l14,0.05,9.59,mb-landmark_cls_dinov2_l14_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,dinov2_l14,0.20,72.34,mb-landmark_cls_dinov2_l14_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,dinov2_l14,0.20,80.09,mb-landmark_cls_dinov2_l14_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,dinov2_l14,0.20,39.65,mb-landmark_cls_dinov2_l14_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,dinov2_l14,0.50,88.34,mb-landmark_cls_dinov2_l14_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,dinov2_l14,0.50,90.13,mb-landmark_cls_dinov2_l14_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,dinov2_l14,0.50,84.1,mb-landmark_cls_dinov2_l14_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,dinov2_l14,full,92.75,mb-landmark_cls_dinov2_l14_lr0.0001_concat_3.log
mb-landmark_cls,dinov2_l14,full,92.97,mb-landmark_cls_dinov2_l14_lr0.001_concat_3.log
mb-landmark_cls,dinov2_l14,full,93.59,mb-landmark_cls_dinov2_l14_lr0.01_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.01,39.43,mb-landmark_cls_dinov3_lvd_1cha_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.01,60.23,mb-landmark_cls_dinov3_lvd_1cha_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.01,5.58,mb-landmark_cls_dinov3_lvd_1cha_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.05,66.82,mb-landmark_cls_dinov3_lvd_1cha_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.05,73.79,mb-landmark_cls_dinov3_lvd_1cha_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.05,46.85,mb-landmark_cls_dinov3_lvd_1cha_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.20,81.37,mb-landmark_cls_dinov3_lvd_1cha_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.20,87.79,mb-landmark_cls_dinov3_lvd_1cha_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.20,73.01,mb-landmark_cls_dinov3_lvd_1cha_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.50,91.86,mb-landmark_cls_dinov3_lvd_1cha_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.50,93.53,mb-landmark_cls_dinov3_lvd_1cha_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,0.50,87.73,mb-landmark_cls_dinov3_lvd_1cha_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,full,91.69,mb-landmark_cls_dinov3_lvd_1cha_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,full,93.53,mb-landmark_cls_dinov3_lvd_1cha_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd_1cha,full,93.75,mb-landmark_cls_dinov3_lvd_1cha_lr0.01_concat_3.log
mb-landmark_cls,dinov3_lvd,0.01,50.42,mb-landmark_cls_dinov3_lvd_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd,0.01,67.09,mb-landmark_cls_dinov3_lvd_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd,0.01,11.6,mb-landmark_cls_dinov3_lvd_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_lvd,0.05,69.21,mb-landmark_cls_dinov3_lvd_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd,0.05,77.47,mb-landmark_cls_dinov3_lvd_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd,0.05,48.3,mb-landmark_cls_dinov3_lvd_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_lvd,0.20,83.66,mb-landmark_cls_dinov3_lvd_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd,0.20,88.85,mb-landmark_cls_dinov3_lvd_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd,0.20,82.54,mb-landmark_cls_dinov3_lvd_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_lvd,0.50,92.3,mb-landmark_cls_dinov3_lvd_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd,0.50,93.31,mb-landmark_cls_dinov3_lvd_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd,0.50,87.73,mb-landmark_cls_dinov3_lvd_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_lvd,full,92.14,mb-landmark_cls_dinov3_lvd_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_lvd,full,94.42,mb-landmark_cls_dinov3_lvd_lr0.001_concat_3.log
mb-landmark_cls,dinov3_lvd,full,93.92,mb-landmark_cls_dinov3_lvd_lr0.01_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.01,12.33,mb-landmark_cls_dinov3_sat_1cha_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.01,60.07,mb-landmark_cls_dinov3_sat_1cha_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.01,4.24,mb-landmark_cls_dinov3_sat_1cha_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.05,35.19,mb-landmark_cls_dinov3_sat_1cha_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.05,58.17,mb-landmark_cls_dinov3_sat_1cha_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.05,18.85,mb-landmark_cls_dinov3_sat_1cha_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.20,63.58,mb-landmark_cls_dinov3_sat_1cha_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.20,73.9,mb-landmark_cls_dinov3_sat_1cha_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.20,73.95,mb-landmark_cls_dinov3_sat_1cha_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.50,87.28,mb-landmark_cls_dinov3_sat_1cha_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.50,86.89,mb-landmark_cls_dinov3_sat_1cha_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,0.50,82.65,mb-landmark_cls_dinov3_sat_1cha_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,full,82.65,mb-landmark_cls_dinov3_sat_1cha_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,full,90.91,mb-landmark_cls_dinov3_sat_1cha_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat_1cha,full,90.8,mb-landmark_cls_dinov3_sat_1cha_lr0.01_concat_3.log
mb-landmark_cls,dinov3_sat,0.01,12.72,mb-landmark_cls_dinov3_sat_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat,0.01,44.95,mb-landmark_cls_dinov3_sat_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat,0.01,22.81,mb-landmark_cls_dinov3_sat_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_sat,0.05,26.44,mb-landmark_cls_dinov3_sat_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat,0.05,58.28,mb-landmark_cls_dinov3_sat_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat,0.05,78.64,mb-landmark_cls_dinov3_sat_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_sat,0.20,69.44,mb-landmark_cls_dinov3_sat_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat,0.20,82.1,mb-landmark_cls_dinov3_sat_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat,0.20,43.34,mb-landmark_cls_dinov3_sat_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_sat,0.50,87.4,mb-landmark_cls_dinov3_sat_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat,0.50,88.79,mb-landmark_cls_dinov3_sat_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat,0.50,82.77,mb-landmark_cls_dinov3_sat_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,dinov3_sat,full,82.65,mb-landmark_cls_dinov3_sat_lr0.0001_concat_3.log
mb-landmark_cls,dinov3_sat,full,91.8,mb-landmark_cls_dinov3_sat_lr0.001_concat_3.log
mb-landmark_cls,dinov3_sat,full,91.91,mb-landmark_cls_dinov3_sat_lr0.01_concat_3.log
mb-landmark_cls,mars_mae,0.01,13.5,mb-landmark_cls_mars_mae_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,mars_mae,0.01,21.31,mb-landmark_cls_mars_mae_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,mars_mae,0.01,5.8,mb-landmark_cls_mars_mae_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,mars_mae,0.05,20.58,mb-landmark_cls_mars_mae_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,mars_mae,0.05,45.45,mb-landmark_cls_mars_mae_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,mars_mae,0.05,1.12,mb-landmark_cls_mars_mae_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,mars_mae,0.20,52.09,mb-landmark_cls_mars_mae_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,mars_mae,0.20,81.93,mb-landmark_cls_mars_mae_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,mars_mae,0.20,40.27,mb-landmark_cls_mars_mae_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,mars_mae,0.50,84.27,mb-landmark_cls_mars_mae_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,mars_mae,0.50,89.68,mb-landmark_cls_mars_mae_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,mars_mae,0.50,82.65,mb-landmark_cls_mars_mae_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,mars_mae,full,82.65,mb-landmark_cls_mars_mae_lr0.0001_concat_3.log
mb-landmark_cls,mars_mae,full,90.85,mb-landmark_cls_mars_mae_lr0.001_concat_3.log
mb-landmark_cls,mars_mae,full,89.96,mb-landmark_cls_mars_mae_lr0.01_concat_3.log
mb-landmark_cls,openclip,0.01,26.44,mb-landmark_cls_openclip_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,openclip,0.01,85.05,mb-landmark_cls_openclip_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,openclip,0.01,17.79,mb-landmark_cls_openclip_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,openclip,0.05,66.31,mb-landmark_cls_openclip_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,openclip,0.05,74.68,mb-landmark_cls_openclip_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,openclip,0.05,18.74,mb-landmark_cls_openclip_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,openclip,0.20,83.94,mb-landmark_cls_openclip_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,openclip,0.20,89.01,mb-landmark_cls_openclip_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,openclip,0.20,70.16,mb-landmark_cls_openclip_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,openclip,0.50,92.3,mb-landmark_cls_openclip_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,openclip,0.50,92.53,mb-landmark_cls_openclip_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,openclip,0.50,88.12,mb-landmark_cls_openclip_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,openclip,full,92.41,mb-landmark_cls_openclip_lr0.0001_concat_3.log
mb-landmark_cls,openclip,full,92.92,mb-landmark_cls_openclip_lr0.001_concat_3.log
mb-landmark_cls,openclip,full,93.14,mb-landmark_cls_openclip_lr0.01_concat_3.log
mb-landmark_cls,satmae,0.01,34.52,mb-landmark_cls_satmae_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,satmae,0.01,58.62,mb-landmark_cls_satmae_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,satmae,0.01,1.95,mb-landmark_cls_satmae_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,satmae,0.05,44.73,mb-landmark_cls_satmae_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,satmae,0.05,53.21,mb-landmark_cls_satmae_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,satmae,0.05,35.08,mb-landmark_cls_satmae_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,satmae,0.20,61.35,mb-landmark_cls_satmae_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,satmae,0.20,82.71,mb-landmark_cls_satmae_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,satmae,0.20,57.22,mb-landmark_cls_satmae_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,satmae,0.50,88.34,mb-landmark_cls_satmae_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,satmae,0.50,89.68,mb-landmark_cls_satmae_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,satmae,0.50,82.54,mb-landmark_cls_satmae_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,satmae,full,89.01,mb-landmark_cls_satmae_lr0.0001_concat_3.log
mb-landmark_cls,satmae,full,90.57,mb-landmark_cls_satmae_lr0.001_concat_3.log
mb-landmark_cls,satmae,full,91.02,mb-landmark_cls_satmae_lr0.01_concat_3.log
mb-landmark_cls,scale_mae,full,82.65,mb-landmark_cls_scale_mae_lr0.0001_concat_3.log
mb-landmark_cls,scale_mae,full,86.39,mb-landmark_cls_scale_mae_lr0.001_concat_3.log
mb-landmark_cls,scale_mae,full,86.78,mb-landmark_cls_scale_mae_lr0.01_concat_3.log
mb-landmark_cls,siglip2,0.01,33.91,mb-landmark_cls_siglip2_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,siglip2,0.01,63.69,mb-landmark_cls_siglip2_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,siglip2,0.01,70.38,mb-landmark_cls_siglip2_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,siglip2,0.05,59.73,mb-landmark_cls_siglip2_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,siglip2,0.05,84.77,mb-landmark_cls_siglip2_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,siglip2,0.05,82.65,mb-landmark_cls_siglip2_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,siglip2,0.20,81.2,mb-landmark_cls_siglip2_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,siglip2,0.20,87.56,mb-landmark_cls_siglip2_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,siglip2,0.20,44.95,mb-landmark_cls_siglip2_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,siglip2,0.50,91.36,mb-landmark_cls_siglip2_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,siglip2,0.50,91.86,mb-landmark_cls_siglip2_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,siglip2,0.50,88.01,mb-landmark_cls_siglip2_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,siglip2,full,92.14,mb-landmark_cls_siglip2_lr0.0001_concat_3.log
mb-landmark_cls,siglip2,full,92.14,mb-landmark_cls_siglip2_lr0.001_concat_3.log
mb-landmark_cls,siglip2,full,93.25,mb-landmark_cls_siglip2_lr0.01_concat_3.log
mb-landmark_cls,swin_v2,0.01,24.87,mb-landmark_cls_swin_v2_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,swin_v2,0.01,65.7,mb-landmark_cls_swin_v2_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,swin_v2,0.01,15.62,mb-landmark_cls_swin_v2_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,swin_v2,0.05,68.15,mb-landmark_cls_swin_v2_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,swin_v2,0.05,70.78,mb-landmark_cls_swin_v2_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,swin_v2,0.05,20.64,mb-landmark_cls_swin_v2_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,swin_v2,0.20,81.2,mb-landmark_cls_swin_v2_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,swin_v2,0.20,88.06,mb-landmark_cls_swin_v2_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,swin_v2,0.20,72.73,mb-landmark_cls_swin_v2_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,swin_v2,0.50,89.46,mb-landmark_cls_swin_v2_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,swin_v2,0.50,91.36,mb-landmark_cls_swin_v2_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,swin_v2,0.50,87.9,mb-landmark_cls_swin_v2_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,swin_v2,full,91.13,mb-landmark_cls_swin_v2_lr0.0001_concat_3.log
mb-landmark_cls,swin_v2,full,91.08,mb-landmark_cls_swin_v2_lr0.001_concat_3.log
mb-landmark_cls,swin_v2,full,90.69,mb-landmark_cls_swin_v2_lr0.01_concat_3.log
mb-landmark_cls,vit_l,0.01,17.51,mb-landmark_cls_vit_l_frac0.01x_lr0.0001_concat_3.log
mb-landmark_cls,vit_l,0.01,63.02,mb-landmark_cls_vit_l_frac0.01x_lr0.001_concat_3.log
mb-landmark_cls,vit_l,0.01,9.87,mb-landmark_cls_vit_l_frac0.01x_lr1e-05_concat_3.log
mb-landmark_cls,vit_l,0.05,67.93,mb-landmark_cls_vit_l_frac0.05x_lr0.0001_concat_3.log
mb-landmark_cls,vit_l,0.05,83.1,mb-landmark_cls_vit_l_frac0.05x_lr0.001_concat_3.log
mb-landmark_cls,vit_l,0.05,34.41,mb-landmark_cls_vit_l_frac0.05x_lr1e-05_concat_3.log
mb-landmark_cls,vit_l,0.20,85.67,mb-landmark_cls_vit_l_frac0.20x_lr0.0001_concat_3.log
mb-landmark_cls,vit_l,0.20,90.96,mb-landmark_cls_vit_l_frac0.20x_lr0.001_concat_3.log
mb-landmark_cls,vit_l,0.20,76.3,mb-landmark_cls_vit_l_frac0.20x_lr1e-05_concat_3.log
mb-landmark_cls,vit_l,0.50,91.75,mb-landmark_cls_vit_l_frac0.50x_lr0.0001_concat_3.log
mb-landmark_cls,vit_l,0.50,91.86,mb-landmark_cls_vit_l_frac0.50x_lr0.001_concat_3.log
mb-landmark_cls,vit_l,0.50,89.07,mb-landmark_cls_vit_l_frac0.50x_lr1e-05_concat_3.log
mb-landmark_cls,vit_l,full,92.02,mb-landmark_cls_vit_l_lr0.0001_concat_3.log
mb-landmark_cls,vit_l,full,92.19,mb-landmark_cls_vit_l_lr0.001_concat_3.log
mb-landmark_cls,vit_l,full,92.02,mb-landmark_cls_vit_l_lr0.01_concat_3.log
