Dataset,Model,Feature Structure,LR,Score,Metric,Filename
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,0.0001,97.45,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,0.0001,96.93,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,original,0.0001,96.8,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,0.001,96.57,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,0.001,96.05,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,original,0.001,96.22,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,1e-05,95.99,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,1e-05,96.01,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,original,1e-05,95.99,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,0.0001,97.16,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,0.0001,96.57,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,original,0.0001,96.85,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,0.001,93.98,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,0.001,93.19,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,original,0.001,94.51,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,1e-05,97.76,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,1e-05,98.33,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,original,1e-05,97.01,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat2,0.0001,97.55,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat3,0.0001,97.87,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,original,0.0001,97.55,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat2,0.001,97.05,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat3,0.001,96.36,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,original,0.001,97.66,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat2,1e-05,96.49,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,concat3,1e-05,96.26,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd_1cha,original,1e-05,96.66,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_1cha_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat2,0.0001,97.3,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat3,0.0001,97.3,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,original,0.0001,96.93,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat2,0.001,96.97,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat3,0.001,96.41,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,original,0.001,96.76,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat2,1e-05,97.22,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,concat3,1e-05,97.16,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_lvd,original,1e-05,97.56,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_lvd_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat2,0.0001,96.84,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat3,0.0001,96.87,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,original,0.0001,96.87,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat2,0.001,96.47,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat3,0.001,96.68,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,original,0.001,96.59,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat2,1e-05,97.51,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,concat3,1e-05,97.08,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat_1cha,original,1e-05,96.03,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_1cha_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat2,0.0001,97.97,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat3,0.0001,98.2,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,original,0.0001,96.97,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat2,0.001,97.35,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat3,0.001,96.57,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,original,0.001,96.76,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat2,1e-05,97.53,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,concat3,1e-05,97.58,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov3_sat,original,1e-05,96.99,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov3_sat_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat2,0.0001,96.11,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat3,0.0001,95.88,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,mars_mae,original,0.0001,95.76,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat2,0.001,94.88,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat3,0.001,93.88,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,mars_mae,original,0.001,94.99,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat2,1e-05,96.16,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,mars_mae,concat3,1e-05,96.05,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,mars_mae,original,1e-05,96.3,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_mars_mae_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,openclip,concat2,0.0001,96.51,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,openclip,concat3,0.0001,97.16,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,openclip,original,0.0001,96.74,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,openclip,concat2,0.001,95.11,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,openclip,concat3,0.001,95.45,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,openclip,original,0.001,94.65,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,openclip,concat2,1e-05,95.8,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,openclip,concat3,1e-05,95.82,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,openclip,original,1e-05,95.9,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_openclip_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,satmae,concat2,0.0001,96.01,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,satmae,concat3,0.0001,96.3,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,satmae,original,0.0001,95.91,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,satmae,concat2,0.001,94.19,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,satmae,concat3,0.001,94.69,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,satmae,original,0.001,94.0,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,satmae,concat2,1e-05,96.61,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,satmae,concat3,1e-05,96.39,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,satmae,original,1e-05,96.8,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_satmae_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,siglip2,concat2,0.0001,96.97,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,siglip2,concat3,0.0001,96.78,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,siglip2,original,0.0001,96.74,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,siglip2,concat2,0.001,94.55,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,siglip2,concat3,0.001,95.47,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,siglip2,original,0.001,94.44,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,siglip2,concat2,1e-05,96.7,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,siglip2,concat3,1e-05,96.36,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,siglip2,original,1e-05,96.13,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_siglip2_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat2,0.0001,96.3,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat3,0.0001,96.87,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,swin_v2,original,0.0001,96.36,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat2,0.001,96.8,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat3,0.001,96.89,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,swin_v2,original,0.001,96.76,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat2,1e-05,96.66,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,swin_v2,concat3,1e-05,97.24,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,swin_v2,original,1e-05,96.68,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_swin_v2_lr1e-05_original.log
mb-atmospheric_dust_cls_rdr,vit_l,concat2,0.0001,96.16,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,vit_l,concat3,0.0001,96.16,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,vit_l,original,0.0001,96.28,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,vit_l,concat2,0.001,96.13,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,vit_l,concat3,0.001,96.03,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,vit_l,original,0.001,95.88,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,vit_l,concat2,1e-05,96.13,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr1e-05_concat_2.log
mb-atmospheric_dust_cls_rdr,vit_l,concat3,1e-05,95.78,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr1e-05_concat_3.log
mb-atmospheric_dust_cls_rdr,vit_l,original,1e-05,95.72,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_vit_l_lr1e-05_original.log
mb-change_cls_ctx,dinov1_b8,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov1_b8,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov1_b8,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.0001_original.log
mb-change_cls_ctx,dinov1_b8,concat2,0.001,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.001_concat_2.log
mb-change_cls_ctx,dinov1_b8,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.001_concat_3.log
mb-change_cls_ctx,dinov1_b8,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr0.001_original.log
mb-change_cls_ctx,dinov1_b8,concat2,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr1e-05_concat_2.log
mb-change_cls_ctx,dinov1_b8,concat3,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr1e-05_concat_3.log
mb-change_cls_ctx,dinov1_b8,original,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov1_b8_lr1e-05_original.log
mb-change_cls_ctx,dinov2_l14,concat2,0.0001,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov2_l14,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov2_l14,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.0001_original.log
mb-change_cls_ctx,dinov2_l14,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.001_concat_2.log
mb-change_cls_ctx,dinov2_l14,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.001_concat_3.log
mb-change_cls_ctx,dinov2_l14,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.001_original.log
mb-change_cls_ctx,dinov2_l14,concat2,1e-05,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr1e-05_concat_2.log
mb-change_cls_ctx,dinov2_l14,concat3,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr1e-05_concat_3.log
mb-change_cls_ctx,dinov2_l14,original,1e-05,85.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr1e-05_original.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov3_lvd_1cha,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.0001_original.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.001_concat_2.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.001_concat_3.log
mb-change_cls_ctx,dinov3_lvd_1cha,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.001_original.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat2,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr1e-05_concat_2.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,1e-05,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr1e-05_concat_3.log
mb-change_cls_ctx,dinov3_lvd_1cha,original,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr1e-05_original.log
mb-change_cls_ctx,dinov3_lvd,concat2,0.0001,85.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov3_lvd,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov3_lvd,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.0001_original.log
mb-change_cls_ctx,dinov3_lvd,concat2,0.001,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.001_concat_2.log
mb-change_cls_ctx,dinov3_lvd,concat3,0.001,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.001_concat_3.log
mb-change_cls_ctx,dinov3_lvd,original,0.001,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.001_original.log
mb-change_cls_ctx,dinov3_lvd,concat2,1e-05,75.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr1e-05_concat_2.log
